,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,genre,kind
8,8,mois,month
9,9,frère,brother
10,10,laisser,let
11,11,mettre,to put
12,12,aucun,no
13,13,eux,them
14,14,ville,city
15,15,chaque,each
16,16,parlé,speak
17,17,arrivé,come
18,18,devrait,should
19,19,bébé,baby
20,20,heures,hours
21,21,vont,will
22,22,pendant,while
23,23,revoir,meet again
24,24,aucune,any
25,25,place,square
26,26,parle,speak
27,27,savais,knew
28,28,étaient,were
29,29,attention,Warning
30,30,voici,here is
31,31,pourrais,could
32,32,affaire,case
33,33,donner,give
34,34,type,type
35,35,leurs,their
36,36,donné,given
37,37,train,train
38,38,corps,body
39,39,endroit,place
40,40,yeux,eyes
41,41,façon,way
42,42,écoute,listen
43,43,dont,whose
44,44,trouve,find
45,45,premier,first
46,46,perdu,lost
47,47,main,hand
48,48,première,first
49,49,côté,side
50,50,pouvoir,power
51,51,vieux,old
52,52,sois,be
53,53,tiens,here
54,54,matin,morning
55,55,tellement,so much
56,56,enfant,child
57,57,point,point
58,58,suite,after
59,59,pardon,sorry
60,60,venez,come
61,61,devant,in front of
62,62,vers,towards
63,63,minutes,minutes
64,64,demandé,request
65,65,chambre,bedroom
66,66,mis,placed
67,67,belle,beautiful
68,68,droit,law
69,69,aimerais,would like to
70,71,mari,husband
71,72,cause,cause
72,73,enfin,finally
73,74,espère,hope
74,75,eau,water
75,76,parti,left
76,77,nouvelle,new
77,78,boulot,job
78,79,arrêter,Stop
79,80,dirait,would say
80,81,terre,Earth
81,82,compte,account
82,83,donne,given
83,84,loin,far
84,85,fin,end
85,86,croire,believe
86,87,chérie,sweetheart
87,88,gros,large
88,89,plutôt,rather
89,90,aura,will have
90,91,filles,girls
91,92,jouer,to play
92,93,bureau,office
